Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / Canada,Compare At Price / Canada,Price / Eurozone,Compare At Price / Eurozone,Price / India,Compare At Price / India,Price / International,Compare At Price / International,Status
orange-bread-ball,Orange bread ball,"<div class=""more-description"">
<h2>More Detail</h2>
<ul>
<li>Lorem Ipsum is simply dummy text of the printing and typesetting industry</li>
<li>Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsumum is simply dummy text.</li>
<li>type here your detail one by one li more add</li>
<li>has been the industry’s standard dummy text ever since. Lorem Ips</li>
<li>Lorem Ipsum is simply dummy text of the printing and typesetting industry.</li>
<li>Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsum has been the industry’s standard dummy text ever since. Lorem Ipsum is simply dummy text.</li>
</ul>
</div>
<div class=""more-description"">
<h2>Key Specification</h2>
<ul>
<li>Lorem Ipsum is simply dummy text of the printing and typesetting industry</li>
<li>Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsumum is simply dummy text.</li>
<li>type here your detail one by one li more add</li>
<li>has been the industry’s standard dummy text ever since. Lorem Ips</li>
<li>Lorem Ipsum is simply dummy text of the printing and typesetting industry.</li>
<li>Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsum has been the industry’s standard dummy text ever since. Lorem Ipsum is simply dummy text.</li>
<li>Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsum has been the industry’s standard dummy text ever since. Lorem Ipsum is simply dummy text.</li>
</ul>
</div>",vegist,,,"",true,Size,5kg,,,,,,0.0,shopify,10,deny,manual,31.00,,true,true,,https://cdn.shopify.com/s/files/1/0412/8151/9765/products/8_6ec92225-eaec-4921-8b91-b233f0dd2a12.jpg?v=1661150199,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0412/8151/9765/products/8_6ec92225-eaec-4921-8b91-b233f0dd2a12.jpg?v=1661150199,kg,,,,,,,,,,,active
orange-bread-ball,,,,,,,,,1kg,,,,,,0.0,shopify,15,deny,manual,31.00,,true,true,,https://cdn.shopify.com/s/files/1/0412/8151/9765/products/5_601baf7f-e1cc-4642-a932-6cdd63a8b4c9.jpg?v=1661150199,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0412/8151/9765/products/1_2c298bd2-913f-41b9-8f44-e975475b111b.jpg?v=1661150243,kg,,,,,,,,,,,
orange-bread-ball,,,,,,,,,2kg,,,,,,0.0,shopify,20,deny,manual,31.00,,true,true,,https://cdn.shopify.com/s/files/1/0412/8151/9765/products/1_2c298bd2-913f-41b9-8f44-e975475b111b.jpg?v=1661150243,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0412/8151/9765/products/5_601baf7f-e1cc-4642-a932-6cdd63a8b4c9.jpg?v=1661150199,kg,,,,,,,,,,,
orange-bread-ball,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0412/8151/9765/products/3_4611cfdd-879c-492c-9089-dad30e3c47b6.jpg?v=1661150255,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
delicious-cookies,Delicious cookies,"<div class=""more-description"">
<h2>More Detail</h2>
<ul>
<li>Lorem Ipsum is simply dummy text of the printing and typesetting industry</li>
<li>Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsumum is simply dummy text.</li>
<li>type here your detail one by one li more add</li>
<li>has been the industry’s standard dummy text ever since. Lorem Ips</li>
<li>Lorem Ipsum is simply dummy text of the printing and typesetting industry.</li>
<li>Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsum has been the industry’s standard dummy text ever since. Lorem Ipsum is simply dummy text.</li>
</ul>
</div>
<div class=""more-description"">
<h2>Key Specification</h2>
<ul>
<li>Lorem Ipsum is simply dummy text of the printing and typesetting industry</li>
<li>Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsumum is simply dummy text.</li>
<li>type here your detail one by one li more add</li>
<li>has been the industry’s standard dummy text ever since. Lorem Ips</li>
<li>Lorem Ipsum is simply dummy text of the printing and typesetting industry.</li>
<li>Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsum has been the industry’s standard dummy text ever since. Lorem Ipsum is simply dummy text.</li>
<li>Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsum has been the industry’s standard dummy text ever since. Lorem Ipsum is simply dummy text.</li>
</ul>
</div>",Vegist,"Food, Beverages & Tobacco > Food Items > Bakery",,"",true,Size,5kg,,,,,147852385-15-7,0.0,shopify,12,deny,manual,31.00,,true,true,"",https://cdn.shopify.com/s/files/1/0412/8151/9765/products/7_729d5490-a577-488b-8b27-2b9f1fb4abc8.jpg?v=1660816659,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0412/8151/9765/products/7_729d5490-a577-488b-8b27-2b9f1fb4abc8.jpg?v=1660816659,g,,,,,,,,,,,active
delicious-cookies,,,,,,,,,3kg,,,,,147852385-15-8,0.0,shopify,10,deny,manual,31.00,,true,true,"",https://cdn.shopify.com/s/files/1/0412/8151/9765/products/2_b096fc1f-d46d-4260-8891-4848bc5829f3.jpg?v=1660816659,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0412/8151/9765/products/2_b096fc1f-d46d-4260-8891-4848bc5829f3.jpg?v=1660816659,g,,,,,,,,,,,
delicious-cookies,,,,,,,,,1kg,,,,,147852385-15-9,0.0,shopify,15,deny,manual,31.00,,true,true,"",https://cdn.shopify.com/s/files/1/0412/8151/9765/products/3_8a9d2f3f-04f2-4032-b0ab-92e0b5a729c0.jpg?v=1660816659,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0412/8151/9765/products/3_8a9d2f3f-04f2-4032-b0ab-92e0b5a729c0.jpg?v=1660816659,g,,,,,,,,,,,
delicious-cookies,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0412/8151/9765/products/4_4d9ffa49-5a91-4fbe-954a-6d2e05600d78.jpg?v=1660816659,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
red-velvet-cup-cake,Red velvet cup cake,"<div class=""more-description"">
<h2>More Detail</h2>
<ul>
<li>Lorem Ipsum is simply dummy text of the printing and typesetting industry</li>
<li>Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsumum is simply dummy text.</li>
<li>type here your detail one by one li more add</li>
<li>has been the industry’s standard dummy text ever since. Lorem Ips</li>
<li>Lorem Ipsum is simply dummy text of the printing and typesetting industry.</li>
<li>Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsum has been the industry’s standard dummy text ever since. Lorem Ipsum is simply dummy text.</li>
</ul>
</div>
<div class=""more-description"">
<h2>Key Specification</h2>
<ul>
<li>Lorem Ipsum is simply dummy text of the printing and typesetting industry</li>
<li>Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsumum is simply dummy text.</li>
<li>type here your detail one by one li more add</li>
<li>has been the industry’s standard dummy text ever since. Lorem Ips</li>
<li>Lorem Ipsum is simply dummy text of the printing and typesetting industry.</li>
<li>Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsum has been the industry’s standard dummy text ever since. Lorem Ipsum is simply dummy text.</li>
<li>Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsum has been the industry’s standard dummy text ever since. Lorem Ipsum is simply dummy text.</li>
</ul>
</div>",Vegist,"Food, Beverages & Tobacco > Food Items > Bakery",,"",true,Size,1kg,Material,canada,,,7856-2-6-10,0.0,,0,continue,manual,35.00,51.00,true,true,,https://cdn.shopify.com/s/files/1/0412/8151/9765/products/6_be17e2c7-cd84-4a52-871d-828fb74c70ef.jpg?v=1661150801,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0412/8151/9765/products/6_be17e2c7-cd84-4a52-871d-828fb74c70ef.jpg?v=1661150801,kg,,,,,,,,,,,active
red-velvet-cup-cake,,,,,,,,,1kg,,india,,,7856-2-6-11,0.0,,0,continue,manual,35.00,51.00,true,true,,https://cdn.shopify.com/s/files/1/0412/8151/9765/products/1_59f2fc43-41c9-4469-8647-d3d271ea0aaf.jpg?v=1661150801,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0412/8151/9765/products/5_2338fb5d-f97d-4ad3-9a39-057222633e84.jpg?v=1661150801,kg,,,,,,,,,,,
