Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Germany,Included / Canada,Price / Canada,Compare At Price / Canada,Included / Eurozone,Price / Eurozone,Compare At Price / Eurozone,Included / India,Price / India,Compare At Price / India,Included / International,Price / International,Compare At Price / International,Status
vitality-shot-with-turmeric,Vitality shot with turmeric,"<div class=""more-description"">
<h2>More Detail</h2>
<ul>
<li>Lorem Ipsum is simply dummy text of the printing and typesetting industry</li>
<li>Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsumum is simply dummy text.</li>
<li>type here your detail one by one li more add</li>
<li>has been the industry’s standard dummy text ever since. Lorem Ips</li>
<li>Lorem Ipsum is simply dummy text of the printing and typesetting industry.</li>
<li>Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsum has been the industry’s standard dummy text ever since. Lorem Ipsum is simply dummy text.</li>
</ul>
</div>
<div class=""more-description"">
<h2>Key Specification</h2>
<ul>
<li>Lorem Ipsum is simply dummy text of the printing and typesetting industry</li>
<li>Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsumum is simply dummy text.</li>
<li>type here your detail one by one li more add</li>
<li>has been the industry’s standard dummy text ever since. Lorem Ips</li>
<li>Lorem Ipsum is simply dummy text of the printing and typesetting industry.</li>
<li>Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsum has been the industry’s standard dummy text ever since. Lorem Ipsum is simply dummy text.</li>
<li>Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsum has been the industry’s standard dummy text ever since. Lorem Ipsum is simply dummy text.</li>
</ul>
</div>",Vegist juice,,"","",true,Size,200 Ml,Flavour,Caret,,,'123456,10000.0,,5,deny,manual,25.00,20.00,true,true,"",https://cdn.shopify.com/s/files/1/0412/8151/9765/files/2_1563ecb5-5f55-4f59-967f-f25075ace986.jpg?v=1683356525,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0412/8151/9765/files/2_1563ecb5-5f55-4f59-967f-f25075ace986.jpg?v=1683356525,kg,,30.00,true,true,,,true,,,true,,,true,,,active
vitality-shot-with-turmeric,,,,,,,,,200 Ml,,Kiwi,,,'964654,10000.0,shopify,10,deny,manual,17.00,20.00,true,true,,https://cdn.shopify.com/s/files/1/0412/8151/9765/files/1_10aad27b-a477-4589-93d6-032ec1dd0ec2.jpg?v=1683356525,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0412/8151/9765/files/8_21c61993-c4fe-426d-91d1-0893892e8aa3.jpg?v=1683356525,kg,,,,,,,,,,,,,,,,
vitality-shot-with-turmeric,,,,,,,,,200 Ml,,Orange,,,'789541,10000.0,shopify,10,deny,manual,18.00,,true,true,,https://cdn.shopify.com/s/files/1/0412/8151/9765/files/3_5a263a7c-e48e-48cb-8d9a-189e06734541.jpg?v=1683356525,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0412/8151/9765/files/5_e4551c93-e19b-4bba-b059-2f1a3faadfc4.jpg?v=1683356525,kg,,,,,,,,,,,,,,,,
vitality-shot-with-turmeric,,,,,,,,,500 Ml,,Caret,,,'745125,10000.0,shopify,9,deny,manual,18.00,20.00,true,true,,https://cdn.shopify.com/s/files/1/0412/8151/9765/files/8_21c61993-c4fe-426d-91d1-0893892e8aa3.jpg?v=1683356525,4,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0412/8151/9765/files/2_1563ecb5-5f55-4f59-967f-f25075ace986.jpg?v=1683356525,kg,,,,,,,,,,,,,,,,
vitality-shot-with-turmeric,,,,,,,,,500 Ml,,Kiwi,,,'456632,10000.0,shopify,10,deny,manual,18.00,50.00,true,true,,https://cdn.shopify.com/s/files/1/0412/8151/9765/files/5_e4551c93-e19b-4bba-b059-2f1a3faadfc4.jpg?v=1683356525,5,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0412/8151/9765/files/8_21c61993-c4fe-426d-91d1-0893892e8aa3.jpg?v=1683356525,kg,,,,,,,,,,,,,,,,
vitality-shot-with-turmeric,,,,,,,,,500 Ml,,Orange,,,'241365,10000.0,shopify,10,deny,manual,16.00,25.00,true,true,,https://cdn.shopify.com/s/files/1/0412/8151/9765/files/7_95fb4e14-7b09-433f-bc97-7bd4c66e288b.jpg?v=1683356525,6,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0412/8151/9765/files/5_e4551c93-e19b-4bba-b059-2f1a3faadfc4.jpg?v=1683356525,kg,,,,,,,,,,,,,,,,
vitality-shot-with-turmeric,,,,,,,,,1 Lt,,Caret,,,'478541,10000.0,shopify,10,deny,manual,18.00,20.00,true,true,,https://cdn.shopify.com/s/files/1/0412/8151/9765/files/9_a24a020a-26cf-4f74-9566-6a3c8287c767.jpg?v=1683356525,7,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0412/8151/9765/files/2_1563ecb5-5f55-4f59-967f-f25075ace986.jpg?v=1683356525,kg,,,,,,,,,,,,,,,,
vitality-shot-with-turmeric,,,,,,,,,1 Lt,,Kiwi,,,'778954,10000.0,shopify,0,deny,manual,18.00,20.00,true,true,,https://cdn.shopify.com/s/files/1/0412/8151/9765/files/4_44e38872-d5d3-4d54-8779-f5d243d82004.jpg?v=1683356523,8,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0412/8151/9765/files/8_21c61993-c4fe-426d-91d1-0893892e8aa3.jpg?v=1683356525,kg,,,,,,,,,,,,,,,,
vitality-shot-with-turmeric,,,,,,,,,1 Lt,,Orange,,,'332145,10000.0,shopify,10,deny,manual,18.00,20.00,true,true,,https://cdn.shopify.com/s/files/1/0412/8151/9765/files/6_1f8ab039-4fb6-4cd1-a173-7f86918adbcf.jpg?v=1683356523,9,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0412/8151/9765/files/5_e4551c93-e19b-4bba-b059-2f1a3faadfc4.jpg?v=1683356525,kg,,,,,,,,,,,,,,,,
vanilla-cream-with-lemon,Vanilla cream with lemon,"<div class=""more-description"">
<h2>More Detail</h2>
<ul>
<li>Lorem Ipsum is simply dummy text of the printing and typesetting industry</li>
<li>Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsumum is simply dummy text.</li>
<li>type here your detail one by one li more add</li>
<li>has been the industry’s standard dummy text ever since. Lorem Ips</li>
<li>Lorem Ipsum is simply dummy text of the printing and typesetting industry.</li>
<li>Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsum has been the industry’s standard dummy text ever since. Lorem Ipsum is simply dummy text.</li>
</ul>
</div>
<div class=""more-description"">
<h2>Key Specification</h2>
<ul>
<li>Lorem Ipsum is simply dummy text of the printing and typesetting industry</li>
<li>Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsumum is simply dummy text.</li>
<li>type here your detail one by one li more add</li>
<li>has been the industry’s standard dummy text ever since. Lorem Ips</li>
<li>Lorem Ipsum is simply dummy text of the printing and typesetting industry.</li>
<li>Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsum has been the industry’s standard dummy text ever since. Lorem Ipsum is simply dummy text.</li>
<li>Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsum has been the industry’s standard dummy text ever since. Lorem Ipsum is simply dummy text.</li>
</ul>
</div>",Vegist juice,,"","",true,Size,200 Ml,Flavour,Caret,,,'123456,10000.0,,5,deny,manual,23.00,20.00,true,true,"",https://cdn.shopify.com/s/files/1/0412/8151/9765/files/11_42791ba1-da16-400a-913e-017e6366fe28.jpg?v=1683356299,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0412/8151/9765/files/11_42791ba1-da16-400a-913e-017e6366fe28.jpg?v=1683356299,kg,,28.00,true,true,,,true,,,true,,,true,,,active
